model,word_rep_mode,feature,metric_family,metric,class,mean_score,n_tokens,n_types,family_label,metric_label,model_label,row_label
bert-base-uncased,first,head_dist,nonlinear_id,gride,-2,19.268936817462627,15690,5483,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,-3,26.694382154024563,10487,4117,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,-4,24.710720795851486,6684,3050,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,-5,21.635914215674767,4545,2268,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,-6,15.903240566070265,19585,4572,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,1,14.250441331129808,57036,5218,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,2,12.998395516322208,28588,2747,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,3,13.0393034861638,13592,1840,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,4,12.111737434680643,6439,1171,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,5,13.228244341336763,3249,795,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,head_dist,nonlinear_id,gride,6,14.138348029210018,5937,1779,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,1,8.919609175278591,10067,1600,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,10,19.911371304438664,108145,12235,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,2,11.790759953168722,9647,2309,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,3,13.591963522709332,9800,2483,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,4,15.774446652485777,9932,2701,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,5,17.89973543240474,9948,2876,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,6,16.736796324069683,9972,2891,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,7,16.20547868655278,9559,2820,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,8,16.894122495101048,9142,2709,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,index,nonlinear_id,gride,9,17.581556283510647,8704,2699,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,1,9.78492353627315,29626,74,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,10,15.029775326068584,7492,2782,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,2,11.595659017562866,29918,334,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,3,12.26424926519394,36097,911,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,4,11.734677901634804,33008,1660,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,5,12.968834473536564,18892,2012,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,6,14.410442242255575,14274,2373,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,7,16.991222381591797,12188,2426,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,8,15.05738199674166,7895,2044,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,length,nonlinear_id,gride,9,11.647312457744892,5526,1557,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,ADJ,14.180836090674768,12648,2156,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,ADP,13.510639605613855,17557,116,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,ADV,9.15189420259916,9913,716,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,AUX,11.19640468634092,11526,90,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,CCONJ,12.446986725697151,6627,21,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,DET,14.534451051400255,16123,36,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,NOUN,23.28900102468637,33607,6903,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,NUM,8.935606663043682,3675,728,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,PRON,10.80570274591446,18255,138,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,PROPN,13.86997626377986,11203,3808,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,PUNCT,9.44005749317316,22123,94,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,SCONJ,8.60675283578726,3815,62,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,pos,nonlinear_id,gride,VERB,14.853595146766075,22095,3538,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,advmod,9.297637462615969,10307,704,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,amod,13.094586225656364,9312,1960,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,case,13.446795248068296,16577,128,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,conj,20.521298775306114,7557,3810,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,det,14.63199315392054,15562,31,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,nsubj,13.582782415243296,15648,2562,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,obj,15.42296915787917,9685,2978,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,obl,15.503034151517427,8743,3228,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,punct,9.440062976800478,22123,94,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
bert-base-uncased,first,relation_type,nonlinear_id,gride,root,13.07311256115253,10046,3032,NLID,NLID (GRIDE),BERT,BERT NLID (GRIDE)
gpt2,last,arity,isotropy,iso,0,0.0015930477708864,129064,7581,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,arity,isotropy,iso,1,0.0019538659118831,20239,6441,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,arity,isotropy,iso,2,0.002208425475356,18037,5846,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,arity,isotropy,iso,3,0.0025464153060545,13546,4621,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,arity,isotropy,iso,4,0.0028022466442332,14030,4534,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,-1,0.0150482334339847,13038,2647,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,-2,0.0245338923817213,15690,5483,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,-3,0.0237703845621301,10487,4117,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,-4,0.0206010750978468,6684,3050,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,-5,0.0156769969751341,4545,2268,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,-6,0.0067626259898623,19585,4572,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,1,0.0226376715581863,57036,5218,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
gpt2,last,head_dist,isotropy,iso,2,0.0225232197329974,28588,2747,IsoScore,IsoScore,GPT-2,GPT-2 IsoScore
