model,feature,feature_label,metric_label,metric_source,class,early_layer,late_layer,layer0_mean,layer12_mean,delta_layer12_minus_layer0,abs_delta,pct_change_from_layer0,layer0_ci_low,layer0_ci_high,layer12_ci_low,layer12_ci_high,n_tokens,source_csv
GPT,index,Index,IsoScore,iso,2,0,12,0.0136215314269065,0.0016930325655266,-0.0119284988613799,0.0119284988613799,-87.57090878796222,0.0132989147678017,0.0140304416418075,0.0016815472627058,0.0017063869163393,9647,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,3,0,12,0.0135357519611716,0.0018139770254492,-0.0117217749357224,0.0117217749357224,-86.59862392091152,0.0133155137300491,0.0137991001829504,0.0017984003061428,0.0018290547886863,9800,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,4,0,12,0.0131046809256076,0.0018913079984486,-0.011213372927159,0.011213372927159,-85.56769135253928,0.0128285428509116,0.0133024277165532,0.0018716568592935,0.0019133907044306,9932,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,5,0,12,0.0125767728313803,0.0019425796344876,-0.0106341931968927,0.0106341931968927,-84.55422817496815,0.0123301995918154,0.0128824729472398,0.0019149460131302,0.001965814968571,9948,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,6,0,12,0.0128263123333454,0.0019855389837175,-0.0108407733496279,0.0108407733496279,-84.51979858189198,0.0126032028347253,0.01305793505162,0.0019569639116525,0.0020182016305625,9972,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,7,0,12,0.0131183126941323,0.0020380152855068,-0.0110802974086255,0.0110802974086255,-84.46434893705205,0.012850428931415,0.0133904283866286,0.0020065754652023,0.0020762893836945,9559,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,8,0,12,0.0129411108791828,0.0020195471588522,-0.0109215637203306,0.0109215637203306,-84.39432922176053,0.0126366028562188,0.0131953414529562,0.0019945867825299,0.0020493138581514,9142,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,9,0,12,0.0128771886229515,0.0020104201976209,-0.010866768425330601,0.010866768425330601,-84.38773977390025,0.0126904882490634,0.0130964312702417,0.0019721158314496,0.002048208611086,8704,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,IsoScore,iso,10,0,12,0.0100233443081378,0.0018673327285796,-0.0081560115795582,0.0081560115795582,-81.37016278026546,0.0099554080516099,0.0100990673527121,0.0018518122378736,0.0018782711122184,108145,gpt2/tables_INDEX/index_bootstrap/index_raw_iso_gpt2.csv
GPT,index,Index,LID,lpca99,1,0,12,442.3500061035156,6.599999904632568,-435.75000619888306,435.75000619888306,-98.50796884513028,432.8999938964844,449.0499877929688,6.0,7.0,10067,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,2,0,12,590.5,69.30000305175781,-521.1999969482422,521.1999969482422,-88.26418237904186,587.4749755859375,595.5250244140625,66.0,73.5250015258789,9647,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,3,0,12,608.0499877929688,155.9499969482422,-452.09999084472656,452.09999084472656,-74.35243810886472,604.0,612.0499877929688,148.89999389648438,160.0,9800,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,4,0,12,620.2000122070312,195.25,-424.95001220703125,424.95001220703125,-68.51822054869247,617.0,623.0,186.8999938964844,204.625,9932,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,5,0,12,631.2999877929688,222.25,-409.04998779296875,409.04998779296875,-64.79486705251044,625.9500122070312,635.5250244140625,216.0,230.5249938964844,9948,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,6,0,12,629.2000122070312,223.9499969482422,-405.25001525878906,405.25001525878906,-64.40718490091925,624.4749755859375,632.5250244140625,215.4250030517578,231.0,9972,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,7,0,12,629.4500122070312,232.0500030517578,-397.40000915527344,397.40000915527344,-63.13448271481887,626.4749755859375,632.5250244140625,225.4750061035156,239.5749969482422,9559,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,8,0,12,626.8499755859375,234.25,-392.5999755859375,392.5999755859375,-62.63061192894859,624.0,629.0,226.375,240.0500030517578,9142,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,9,0,12,628.6500244140625,234.1000061035156,-394.5500183105469,394.5500183105469,-62.76147347298521,625.0,631.5250244140625,225.4250030517578,240.5749969482422,8704,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,LID,lpca99,10,0,12,638.2999877929688,223.1499938964844,-415.1499938964844,415.1499938964844,-65.03995015446208,634.4749755859375,641.5250244140625,203.8999938964844,239.1000061035156,108145,gpt2/tables_INDEX/index_bootstrap/index_raw_lpca99_gpt2.csv
GPT,index,Index,NLID,gride,1,0,12,0.6773545742034912,0.6010562181472778,-0.07629835605621338,0.07629835605621338,-11.264167832029992,0.5170458555221558,0.9256232380867004,0.5108855366706848,0.7129396796226501,10067,gpt2/tables_INDEX/index_bootstrap/index_raw_gride_gpt2.csv
