model,comparison,canonical,metric,metric_label,n_layers,median_rel_diff_pct,mean_rel_diff_pct,max_rel_diff_pct,median_abs_diff,mean_abs_diff,spearman_r,pearson_r,layer12_mean_value,layer12_first_value,layer12_rel_diff_pct,source_csv,layer12_last_value
bert-base-uncased,mean vs last,False,rand,RandCos,13,1.7643018559540504,1.988649830094304,3.62593891638237,0.004432246088981601,0.004156373441219335,1.0,0.9997754064435758,0.2639701664447784,,1.5657117800538622,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_rand.csv,0.2599008679389953
gpt2,mean vs first,False,rand,RandCos,13,1.1987358590790032,1.1269144655316379,1.4950897666418779,0.006933331489562988,0.006715118885040283,0.9945054945054945,0.9999399286879554,0.974469006061554,0.97269606590271,0.18227072371251118,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_rand.csv,
gpt2,mean vs last,True,rand,RandCos,13,0.3571245246686727,0.37645517295240416,1.7001799511220144,0.001942753791809082,0.002270052066216102,0.989010989010989,0.9996906533431682,0.974469006061554,,0.03323282569147513,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_rand.csv,0.9747929573059082
bert-base-uncased,mean vs first,True,sf,SF,13,0.7724042986724394,0.7059685925243959,1.5551615847240898,0.003098905086517334,0.003074039920018264,0.9945054945054945,0.9998723257941153,0.5010015368461609,0.5065639019012451,1.098057922052372,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_sf.csv,
bert-base-uncased,mean vs last,False,sf,SF,13,0.8528947121023266,0.7151589012267657,1.3034754642402728,0.0034257471561431885,0.0031636744164503646,0.9945054945054945,0.999874790170012,0.5010015368461609,,0.8528947121023266,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_sf.csv,0.5053113102912903
gpt2,mean vs first,False,sf,SF,13,26.837516011039032,22.16357215576473,28.41965956565658,0.0021425941959023996,0.0045786479380554935,1.0,0.9993951618526009,0.0272214133292436,0.0254495535045862,6.962243264260411,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_sf.csv,
gpt2,mean vs last,True,sf,SF,13,13.3002133516464,11.18254371455119,14.362523256429672,0.0015410939231515,0.003054045892965345,0.989010989010989,0.9997173860179244,0.0272214133292436,,5.208756420163729,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_sf.csv,0.0287172235548496
bert-base-uncased,mean vs first,True,spect,Spectral,13,2.629236842053572,2.4947507823405077,4.1009038049361255,0.9300308227539062,1.1178349715012763,0.9945054945054945,0.9998123683941269,82.25072479248047,79.48184204101562,3.483667062013983,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_spect.csv,
bert-base-uncased,mean vs last,False,spect,Spectral,13,1.7005875867929854,2.435507743490936,4.538606311385595,0.613739013671875,1.094489024235652,0.9945054945054945,0.9994050422557128,82.25072479248047,,4.143928261337453,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_spect.csv,78.97793579101562
gpt2,mean vs first,False,spect,Spectral,13,0.6948347396182842,2.8820131563838767,17.157851798260705,5.204345703125,10.1504152738131,1.0,0.9991689625333497,572.04833984375,579.6488037109375,1.3112187618656317,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_spect.csv,
gpt2,mean vs last,True,spect,Spectral,13,0.45971114022558207,2.4519060851119745,13.171641088892958,3.4036865234375,6.732626108022837,1.0,0.9998482527336373,572.04833984375,,1.049694450074824,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_spect.csv,566.10595703125
bert-base-uncased,mean vs first,True,stable_rank,Stable rank,13,2.561877656911429,2.4250165854151926,3.9393527505758716,0.4364585876464844,0.456656529353216,0.9945054945054945,0.9995278319424512,9.33730411529541,9.66258430480957,3.366389148628192,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_stable_rank.csv,
bert-base-uncased,mean vs last,False,stable_rank,Stable rank,13,1.6721559089409008,2.3615307047051064,4.3415497452702905,0.3558387756347656,0.4472930614764875,0.9945054945054945,0.9990403722327259,9.33730411529541,,3.9790326166597314,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/all_tokens/tables/alltokens_stable_rank.csv,9.724234580993652
