model_key,comparison,feature,metric_label,metric_key,reference_metric,class_key,class,layer,mean_value,reference_value,mean_rank_within_plot,reference_rank_within_plot,mean_path,reference_path
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,3,3,12,0.1176948174834251,0.0218456014990806,27.0,23.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,0,0.1102148741483688,0.0241396855562925,25.0,26.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,1,0.1297988593578338,0.0310580488294363,28.0,38.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,2,0.1591904908418655,0.0391896739602088,36.0,65.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,3,0.1751332581043243,0.0423328205943107,43.0,77.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,4,0.1858347952365875,0.0403787270188331,48.0,68.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,5,0.2112517654895782,0.0420988500118255,67.0,75.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,6,0.2288781404495239,0.0447477288544178,84.0,84.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,7,0.248709887266159,0.0464404858648777,104.0,90.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
bert,BERT: MEAN vs FIRST,length,IsoScore,iso,iso,4,4,8,0.2456624507904052,0.0445412956178188,98.0,83.0,/home/ldomenichelli/linguistic_profiling_of_transformer/plots_extra/metrics/features/length/mean/bert/tables/iso_bert_length.csv,/home/ldomenichelli/linguistic_profiling_of_the_geometry_copy/geometric_profiling_of_a_neural_language_model/bert/tables_LENGTH/length_bootstrap/length_raw_iso_bert-base-uncased.csv
